OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,COUNTY_NAME,PREFERRED_CITY,Shape_Length,Shape_Area
194,98382,98382,037,Standard,Kittitas County,SEQUIM,101880.218267174,438982487.573108
195,98383,98383,035,Standard,Kitsap County,SILVERDALE,169220.608828158,612415911.557032
196,98385,98385,053,Standard,Pierce County,SOUTH PRAIRIE,26354.496588453,16032093.2715526
197,98387,98387,053,Standard,Pierce County,SPANAWAY,262452.848549456,596677239.956648
198,98388,98388,053,Standard,Pierce County,STEILACOOM,141110.719276317,723667033.997881
199,98390,98390,053,Standard,Pierce County,SUMNER,112585.794841029,265375633.705586
200,98391,98391,053,Standard,Pierce County,BONNEY LAKE,260905.318422932,1040708225.5209
201,98392,98392,035,Standard,Kitsap County,SUQUAMISH,52490.441182714,76185055.7407394
202,98394,98394,053,Standard,Pierce County,VAUGHN,67970.7600545269,206714057.217636
203,98396,98396,053,Standard,Pierce County,WILKESON,53184.0526693989,100115998.32628
204,98402,98402,053,Standard,Pierce County,TACOMA,34331.9978307713,31441309.8123364
205,98403,98403,053,Standard,Pierce County,TACOMA,60688.7364990947,119242227.14922
206,98404,98404,053,Standard,Pierce County,TACOMA,98471.7957505332,203310669.533798
207,98405,98405,053,Standard,Pierce County,TACOMA,60571.3333935246,115027349.626589
208,98406,98406,053,Standard,Pierce County,TACOMA,101331.93626269,141200899.201849
209,98407,98407,053,Standard,Pierce County,TACOMA,100842.129562979,324697302.156773
210,98408,98408,053,Standard,Pierce County,TACOMA,59797.1516607887,97064286.319263
211,98409,98409,053,Standard,Pierce County,TACOMA,85390.5308438357,196859240.850791
212,98416,98416,053,Unique,Pierce County,TACOMA,8779.92450159004,3913448.12913452
213,98418,98418,053,Standard,Pierce County,TACOMA,34252.1077790986,47010613.414646
214,98421,98421,053,Standard,Pierce County,TACOMA,72483.6808395673,245112060.688383
215,98422,98422,033,Standard,King County,TACOMA,10581.8830705924,1621490.99097048
216,98422,98422,053,Standard,Pierce County,TACOMA,96757.8923324245,335863885.391708
217,98424,98424,053,Standard,Pierce County,TACOMA,73429.1076997492,186557469.254585
218,98430,98430,053,Standard,Pierce County,CAMP MURRAY,16387.4097243827,12337901.2111293
219,98431,98431,053,Standard,Pierce County,TACOMA,7944.60212474792,4321605.1512947
220,98433,98433,053,Standard,Pierce County,TACOMA,385230.732402692,2949812831.66925
221,98438,98438,053,Standard,Pierce County,TACOMA,87379.8145862698,241187474.069971
222,98439,98439,053,Standard,Pierce County,LAKEWOOD,22104.0023513594,14240797.5383853
223,98443,98443,053,Standard,Pierce County,TACOMA,88983.0804827683,141354415.760813
224,98444,98444,053,Standard,Pierce County,TACOMA,116888.152698124,199207459.088806
225,98445,98445,053,Standard,Pierce County,TACOMA,163494.268220991,291278349.995493
226,98446,98446,053,Standard,Pierce County,TACOMA,153223.643164723,301658355.721746
227,98447,98447,053,Unique,Pierce County,TACOMA,13606.0218872715,6216458.40251767
228,98465,98465,053,Standard,Pierce County,TACOMA,60783.332988548,43142641.2552787
229,98466,98466,053,Standard,Pierce County,TACOMA,90639.3960787429,219047524.864794
230,98467,98467,053,Standard,Pierce County,UNIVERSITY PLACE,85909.891945485,186227146.867165
231,98493,98493,053,Standard,Pierce County,TACOMA,24171.4955601984,27137620.6078792
232,98498,98498,053,Standard,Pierce County,LAKEWOOD,103568.081480516,267680901.010581
233,98499,98499,053,Standard,Pierce County,LAKEWOOD,92920.9163548571,258483287.552771
234,98501,98501,067,Standard,Thurston County,OLYMPIA,227489.785098516,1063779633.01329
235,98502,98502,045,Standard,Mason County,OLYMPIA,11633.3125214704,7068497.51324659
236,98502,98502,067,Standard,Thurston County,OLYMPIA,268859.557527578,2031495369.43151
237,98503,98503,067,Standard,Thurston County,LACEY,124057.018106202,345419003.914616
238,98506,98506,067,Standard,Thurston County,OLYMPIA,161029.657087236,837506412.910377
239,98512,98512,067,Standard,Thurston County,OLYMPIA,380528.234972671,4121464666.68824
240,98513,98513,067,Standard,Thurston County,OLYMPIA,295084.468641626,1294716965.1723
241,98516,98516,067,Standard,Thurston County,OLYMPIA,196786.10810599,1170268477.01515
242,98524,98524,045,Standard,Mason County,ALLYN,123639.568980293,526612947.430773
243,98528,98528,035,Standard,Kitsap County,BELFAIR,23794.0050050311,9099747.16345672
244,98528,98528,045,Standard,Mason County,BELFAIR,330961.407239406,2257162460.21698
245,98528,98528,053,Standard,Pierce County,BELFAIR,18560.593517485,6916667.27286835
246,98531,98531,067,Standard,Thurston County,CENTRALIA,210454.331113478,935059511.255969
247,98541,98541,045,Standard,Mason County,ELMA,230388.127955097,2015366202.59742
248,98546,98546,045,Standard,Mason County,GRAPEVIEW,185552.321554008,860801200.743823
249,98548,98548,045,Standard,Mason County,HOODSPORT,284067.204948809,1923891172.73431
250,98555,98555,045,Standard,Mason County,LILLIWAUP,321616.067328207,3378208775.98812
251,98557,98557,045,Standard,Mason County,MCCLEARY,24984.122427415,22582285.7160195
252,98558,98558,053,Standard,Pierce County,MCKENNA,16746.2349620062,6875372.07456481
253,98560,98560,045,Standard,Mason County,MATLOCK,212838.640948938,1998687073.08701
254,98563,98563,045,Standard,Mason County,MONTESANO,430111.454941882,3918555853.48477
255,98576,98576,067,Standard,Thurston County,RAINIER,385840.906108545,2538164690.30753
256,98579,98579,067,Standard,Thurston County,ROCHESTER,252301.627298289,1470141583.85883
257,98580,98580,053,Standard,Pierce County,ROY,248882.972184782,1780789516.3797
258,98584,98584,045,Standard,Mason County,SHELTON,619785.518932454,9851561276.26417
259,98588,98588,045,Standard,Mason County,TAHUYA,203931.782398062,1701704687.10374
260,98589,98589,067,Standard,Thurston County,TENINO,325026.396412497,2693052453.39994
261,98592,98592,045,Standard,Mason County,UNION,163038.183608695,810057698.610309
262,98597,98597,067,Standard,Thurston County,YELM,469274.37234277,3085238695.45273
263,98826,98826,007,Standard,Chelan County,LEAVENWORTH,845445.557167108,26179809163.314
264,98922,98922,037,Standard,Kittitas County,CLE ELUM,871202.840237999,17220076339.3718
265,98925,98925,037,Standard,Kittitas County,EASTON,513881.754033565,5997914905.19688
266,98926,98926,037,Standard,Kittitas County,ELLENSBURG,947568.861297757,32490465853.3339
267,98934,98934,037,PO Box,Kittitas County,KITTITAS,21908.6905747336,12289665.0654034
268,98937,98937,077,Standard,Yakima County,NACHES,492873.204053677,10614499458.9652
269,98940,98940,037,PO Box,Kittitas County,RONALD,465055.066535705,5451150403.3459
270,98941,98941,037,PO Box,Kittitas County,ROSLYN,128017.069816111,357024286.209639
271,98943,98943,037,PO Box,Kittitas County,SOUTH CLE ELUM,14265.7191524655,10064275.3951149
272,98946,98946,037,Standard,Kittitas County,THORP,148179.572806545,836663894.394367
273,98950,98950,037,PO Box,Kittitas County,VANTAGE,209701.375729646,915724778.757058
